CTY TNHH THƯƠNG MẠI TRANG TRÍ NỘI THẤT GỖ XUÂN LỘC PHÁT,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5
" 075 Bùi Công Trừng, Tổ 2 Ấp 5, Đông Thạnh, Hóc Môn, TP. HCM",,,,,
BẢNG ĐỀ NGHỊ THANH TOÁN,,,,,
,,,,,
Kính gửi: CN CTY TNHH NHÀ HÀNG ViỆT PHỐ,,,,,
Phần công việc đã làm như sau :  Nhà Hàng 45-47-49 Lê Quí Đôn,,,,,
,,,,,
STT,TÊN HÀNG,ĐVT,SỐ L,ĐƠN GIÁ,THÀNH TiỀN
1,Ghế tựa bọc simmily phòng Vip,Cái,70,1.100.000,77.000.000
2,Mặt bàn gỗ ghép venia vuông KT 1200 x 1200,Cái,10,1.400.000,14.000.000
,,,,,
3,Mặt bàn gỗ ghép venia tròn KT đường kính 1300,Cái,10,1.800.000,18.000.000
,,,,,
,CỘNG,,,,109.000.000
,Thuế VAT 8%,,,,8.720.000
,TỒNG CỘNG,,,,117.720.000
,,,,,
Viết bằng chữ : Một trăm mười bảy triệu bảy trăm hai mươi nghìn đồng.,,,,,
,,,,,
,,,Ngày 14 tháng 1năm 2025,,
,,,Người  lập bảng,,
